iter	RMSE
0	0.4325686504
1	0.4297793779
2	0.4268301372
3	0.424207844
4	0.4217844139
5	0.4196386509
6	0.4175933069
7	0.4157511355
8	0.4143082244
9	0.4124609743
10	0.4107593269
11	0.4093374436
12	0.4081059562
13	0.406815824
14	0.4057677412
15	0.4046333092
16	0.4036597852
17	0.402693723
18	0.401923003
19	0.4010921362
20	0.4001377882
21	0.3993868094
22	0.3985966171
23	0.3978539011
24	0.3973452736
25	0.396709313
26	0.396190839
27	0.3954823325
28	0.3950129102
29	0.3943691214
30	0.3938659876
31	0.3935150767
32	0.3930290128
33	0.3926493903
34	0.3922195706
35	0.3917246803
36	0.3911840133
37	0.3908098339
38	0.3903767683
39	0.3900829633
40	0.389769336
41	0.389267783
42	0.3889314586
43	0.3885729015
44	0.388180253
45	0.3878104155
46	0.3873462629
47	0.3872495462
48	0.3869077184
49	0.3866217753
50	0.3864795201
51	0.3861916024
52	0.3857302874
53	0.3854171016
54	0.3852529576
55	0.3849790894
56	0.3847245042
57	0.3844979627
58	0.3843000576
59	0.384050719
60	0.3838764293
61	0.3836391699
62	0.3834481128
63	0.3833096568
64	0.3831659178
65	0.3829465483
66	0.3826235006
67	0.3825150331
68	0.3822180088
69	0.3818071488
70	0.3815395093
71	0.3813534908
72	0.3810602888
73	0.3810152768
74	0.3807308619
75	0.3805590183
76	0.3803043202
77	0.3800694776
78	0.3798647503
79	0.3797047852
80	0.3793988488
81	0.3793337372
82	0.3792204662
83	0.3790763482
84	0.378824631
85	0.3785511365
86	0.3783270619
87	0.3780444394
88	0.3778144583
89	0.3776847521
90	0.3774699507
91	0.3773098704
92	0.3771867175
93	0.3770033067
94	0.3768817312
95	0.3768627063
96	0.376606438
97	0.3764035162
98	0.376081516
99	0.3758835265
100	0.3757353916
101	0.3754412758
102	0.3752372735
103	0.375038967
104	0.3749237259
105	0.3748061037
106	0.3747041485
107	0.3745746278
108	0.3742541681
109	0.3740361234
110	0.3738304284
111	0.3737334664
112	0.3736336553
113	0.3734840809
114	0.3733245648
115	0.3730412435
116	0.3728137237
117	0.3726955773
118	0.3725593218
119	0.3723833361
120	0.372148961
121	0.3719754672
122	0.3718428667
123	0.3718283404
124	0.3716675127
125	0.3715246442
126	0.3714239635
